Cell,Type,Value
E18_1_C47,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,0.0147296192460514
E18_1_C47,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,0.012728486569017
E18_1_C47,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.00762199523867819
E18_1_C47,Adipocyte_SPP1.high.Adult.Adipose1.,0.000787604160381631
E18_1_C47,M2.Macrophage.Adult.Adipose1.,0.000446911591498143
E18_1_C47,Basal.cell_KRT6A.high.Adult.Trachea2.,-6.7659946104423e-05
E18_3_C15,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,0.180028378422546
E18_3_C15,Macrophage.Adult.Temporal.Lobe1..1,0.136594418089898
E18_3_C15,Endothelial.progenitor.cell.Adult.Ileum2.,0.134632817680537
E18_3_C15,Stellate.cell.Liver_Camp.,0.0606402546294517
E18_3_C15,Basal.cell_KRT6A.high.Adult.Trachea2.,0.041729479440781
E18_3_C15,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0385580357508478
E18_3_C15,Stromal.cell.Adult.Adipose1.,0.025678766824789
E18_3_C15,Adipocyte_SPP1.high.Adult.Adipose1.,0.000114033971163253
E18_3_C15,M2.Macrophage.Adult.Adipose1.,-0.000176305265536968
E18_3_C15,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00321118320698612
E18_3_C15,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00356778776171238
E18_3_C15,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00361611245697247
E18_3_C40,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,0.182941172347971
E18_3_C40,Macrophage.Adult.Temporal.Lobe1..1,0.138836479601603
E18_3_C40,Endothelial.progenitor.cell.Adult.Ileum2.,0.136831754270241
E18_3_C40,Stellate.cell.Liver_Camp.,0.0606687520949947
E18_3_C40,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0413614845259028
E18_3_C40,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0383581287450007
E18_3_C40,Stromal.cell.Adult.Adipose1.,0.0260690150434052
E18_3_C40,Adipocyte_SPP1.high.Adult.Adipose1.,0.000135901812548902
E18_3_C40,M2.Macrophage.Adult.Adipose1.,-0.00014907414417808
E18_3_C40,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00321671026174389
E18_3_C40,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00357392860047865
E18_3_C40,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.0036223364716959
E18_3_C75,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,0.182957552482953
E18_3_C75,Macrophage.Adult.Temporal.Lobe1..1,0.138849088679654
E18_3_C75,Endothelial.progenitor.cell.Adult.Ileum2.,0.136844120544613
E18_3_C75,Stellate.cell.Liver_Camp.,0.0606688880797888
E18_3_C75,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0413593885242607
E18_3_C75,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0383569835777547
E18_3_C75,Stromal.cell.Adult.Adipose1.,0.0260712089667265
E18_3_C75,Adipocyte_SPP1.high.Adult.Adipose1.,0.000136025296778133
E18_3_C75,M2.Macrophage.Adult.Adipose1.,-0.000148920243145598
E18_3_C75,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00321674016031166
E18_3_C75,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00357396181930714
E18_3_C75,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.0036223701404642
E18_2_C32,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,0.205583442889272
E18_2_C32,Macrophage.Adult.Temporal.Lobe1..1,0.15627551952487
E18_2_C32,Endothelial.progenitor.cell.Adult.Ileum2.,0.153931786123841
E18_2_C32,Stellate.cell.Liver_Camp.,0.0605739174855997
E18_2_C32,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0381545005330809
E18_2_C32,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0365306163483825
E18_2_C32,Stromal.cell.Adult.Adipose1.,0.0290941881595125
