Cell,Type,Value
E18_1_C84,AT1 Cell(Lung),0.415912159434517
E18_1_C84,Alveolar bipotent progenitor(Lung),0.297345713343945
E18_1_C84,AT2 Cell(Lung),0.282614576380822
E18_1_C84,Epithelial cell_Sftpc high(Fetal_Lung),0.26682099325223
E18_1_C84,Epithelial Cells(Lung-Mesenchyme),0.264159341568711
E18_1_C84,Clara Cell(Lung),0.228284704641173
E18_1_C84,Dividing cells(Lung),0.226404865013474
E18_1_C84,Stromal cell_Inmt high(Lung),0.225817628493653
E18_1_C84,Ciliated cell(Lung),0.222732201690965
E18_1_C84,Stromal cell_Inmt high(Lung-Mesenchyme),0.197523927048924
E18_1_C84,Stromal cell_Aspn high(Lung-Mesenchyme),0.186789216498598
E18_1_C84,Ependymocytes(Arc-Me),0.168816304863347
E18_2_C59,AT1 Cell(Lung),0.414879930057878
E18_2_C59,Alveolar bipotent progenitor(Lung),0.308221069094813
E18_2_C59,AT2 Cell(Lung),0.302553592147574
E18_2_C59,Epithelial Cells(Lung-Mesenchyme),0.271961633964972
E18_2_C59,Stromal cell_Inmt high(Lung),0.252094615598455
E18_2_C59,Epithelial cell_Sftpc high(Fetal_Lung),0.252075368130572
E18_2_C59,Ciliated cell(Lung),0.236901840229102
E18_2_C59,Dividing cells(Lung),0.234918178155997
E18_2_C59,Stromal cell_Inmt high(Lung-Mesenchyme),0.231360603226525
E18_2_C59,Stromal cell_Aspn high(Lung-Mesenchyme),0.231064957809897
E18_2_C59,Clara Cell(Lung),0.229996416772549
E18_2_C59,Ependymocytes(Arc-Me),0.173584660958454
E18_2_C90,AT1 Cell(Lung),0.43591691614609
E18_2_C90,Alveolar bipotent progenitor(Lung),0.316920636060466
E18_2_C90,AT2 Cell(Lung),0.312123570968152
E18_2_C90,Epithelial cell_Sftpc high(Fetal_Lung),0.295867787181711
E18_2_C90,Epithelial Cells(Lung-Mesenchyme),0.29578605915584
E18_2_C90,Dividing cells(Lung),0.252300690137436
E18_2_C90,Clara Cell(Lung),0.244140825569493
E18_2_C90,Ciliated cell(Lung),0.237310913477489
E18_2_C90,Stromal cell_Inmt high(Lung),0.236769072438828
E18_2_C90,Stromal cell_Aspn high(Lung-Mesenchyme),0.218214534224376
E18_2_C90,Stromal cell_Inmt high(Lung-Mesenchyme),0.21801154852654
E18_2_C90,Ependymocytes(Arc-Me),0.151224798406931
E18_2_C26,AT1 Cell(Lung),0.442043824540751
