"","x"
"MALAT1",6.36054760189177
"EEF1A1",6.13512397584034
"MT-CO1",5.57696744953325
"ACTB",5.54200018598904
"RPLP1",5.53998805599564
"B2M",5.36165003112729
"MT-CO2",5.34080203747548
"RPL10",5.26122572440407
"RPL28",5.05764330854319
"RPS12",4.98316699721419
"RPL13",4.92248961637058
"RPL30",4.81305425958708
"RPL32",4.77330131917994
"TMSB4X",4.75769545012547
"TPT1",4.71070408971972
"RPS15A",4.70638726579604
"RPS14",4.69024552269813
"RPS23",4.65345150468201
"RPS8",4.63982726165902
"RPL11",4.61360762452614
"RPL19",4.60791667218618
"RPS3",4.57595402876748
"RPS3A",4.51904002978892
"RPS27A",4.49500200256322
"RPS27",4.4940226542276
"RPL39",4.47076586825399
"MT-CO3",4.43889056157154
"RPS19",4.4234032926745
"RPS18",4.35369444402384
"RPL18A",4.34400813580231
"RPL34",4.31139816193726
"MT-ND4L",4.29586570447278
"RPS13",4.25019702484328
"RPS15",4.24740488136026
"RPL7A",4.22992807402222
"RPS28",4.22432002987953
"RPL8",4.21574605014348
"RPL26",4.21334442507276
"FTH1",4.20582160814182
"RPS24",4.18439009925658
"MT-CYB",4.16601095390808
"RPLP2",4.13856003103531
"RPL18",4.1235089496029
"RPL29",4.11528442765504
"CD74",4.10957414268287
"RPL12",4.09773827533489
"RPS2",4.08679850233852
"RPS25",4.06034968438358
"RPS6",4.04626633289577
"RPS7",4.03783149996836
