"x"
"CD74"
"LYZ"
"HLA-DRA"
"S100A8"
"KRT17"
"S100A9"
"TPSAB1"
"S100A2"
"HLA-DRB1"
"CCL5"
"HSPA6"
"GNLY"
"TPSB2"
"S100A7"
"IL7R"
"SPP1"
"IGKV3-20"
"HLA-DPA1"
"IL32"
"CPA3"
"FOS"
"IGKV1-5"
"SLPI"
"HLA-B"
"HLA-DQA1"
"TYROBP"
"GZMK"
"HLA-DPB1"
"MS4A1"
"CCL4"
"CST3"
"HSPA1A"
"AQP3"
"NKG7"
"IGLV2-14"
"IFITM3"
"GZMA"
"CD3E"
"JUN"
"MT2A"
"IGKV3-15"
"IFI30"
"CD69"
"FCER1G"
"KLRB1"
"S100P"
"HLA-DQB1"
"GSTP1"
"LCN2"
"LTB"
